,Rank,Conference,Short Name,H5-Index
0,1,Science,,162.00
1,2,Nucleic Acids Research,NAR,128.00
2,3,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,112.00
3,4,IEEE Transactions on Pattern Analysis and Machine Intelligence,TPAMI,101.00
4,5,NeuroImage,NeuroImage,99.00
5,6,IEEE Transactions on Industrial Electronics,TIE,80.00
6,7,Bioinformatics,Bioinformatics,79.00
7,8,IEEE Communications Magazine,ICM,74.00
8,9,IEEE Transactions on Signal Processing,TSP,73.00
9,10,ACM Conference on Human Factors in Computing Systems,CHI,71.00
10,11,IACR Cryptology ePrint Archive,,71.00
11,12,IEEE Transactions on Image Processing,TIP,69.00
12,13,Automatica,Automatica,69.00
13,14,IEEE International Conference on Computer Communications,INFOCOM,69.00
14,15,Communications of the ACM,Commun. ACM,69.00
15,16,Transactions on Automatic Control,TAC,67.00
16,17,International World Wide Web Conferences,WWW,66.00
17,18,Proceedings of the IEEE,Proc. IEEE,64.00
18,19,Information Sciences,Inf. Sci.,62.00
19,20,IEEE Transactions on Wireless Communications,TWC,61.00
20,21,Proceedings of The Vldb Endowment,PVLDB,61.00
21,22,PLOS Computational Biology,,61.00
22,23,ACM Transactions on Graphics,TOG,61.00
23,24,IEEE Transactions on Information Theory,TIT,59.00
24,25,Expert Systems with Applications,Expert Syst. Appl.,59.00
25,26,European Journal of Operational Research,EJOR,59.00
26,27,BMC Bioinformatics,,59.00
27,28,BMC Genomics,,59.00
28,29,International Journal of Computer Vision,IJCV,58.00
29,30,IEEE International Conference on Robotics and Automation,ICRA,58.00
30,31,International Conference on Computer Vision,ICCV,58.00
31,32,IEEE Communications Surveys and Tutorials,COMSUR,58.00
32,33,IEEE Transactions on Vehicular Technology,TVT,57.00
33,34,ACM Knowledge Discovery and Data Mining,KDD,56.00
34,35,International Conference on Machine Learning,ICML,56.00
35,36,IEEE/ACM Transactions on Networking,TON,55.00
36,37,IEEE Transactions on Parallel and Distributed Systems,TPDS,55.00
37,38,Transactions on Geoscience and Remote Sensing,TGARS,55.00
38,39,ACM SIGMOD Conference,SIGMOD,54.00
39,40,IEEE Transactions on Smart Grid,TSG,54.00
40,41,IEEE Transactions on Medical Imaging,T-MI,53.00
41,42,IEEE Transactions on Knowledge and Data Engineering,TKDE,53.00
42,43,IEEE Transactions on Mobile Computing,TMC,53.00
43,44,Computers & Education,C&E,52.00
44,45,Management Science,MS,52.00
45,46,Symposium on Network System Design and Implementation,NSDI,52.00
46,47,Computers & Mathematics with Applications,CMA,51.00
47,48,IEEE Journal of Selected Areas in Communications,JSAC,51.00
48,49,Annual Conference on Neural Information Processing Systems,NIPS,51.00
49,50,Journal of Cognitive Neuroscience,JOCN,51.00
50,51,ACM International Conference on Web Search and Data Mining,WSDM,50.00
51,52,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication",SIGCOMM,49.00
52,53,IEEE Symposiumon Security and Privacy,S&P,49.00
53,54,International Conference on Weblogs and Social Media,ICWSM,49.00
54,55,Journal of Machine Learning Research,JMLR,49.00
55,56,Applied Soft Computing,ASC,49.00
56,57,Journal of Solid-State Circuits,JSSC,49.00
57,58,MIS Quarterly,,48.00
58,59,Organization Science,OS,48.00
59,60,Annual Meeting of the Association for Computational Linguistics,ACL,48.00
60,61,IEEE Transactions on Software Engineering,ITSE,48.00
