,venue,avgVenueCite
0,Lecture Notes in Computer Science,16.943556975505857
1,,
2,Journal of Computational Biology,224.0731707317073
3,"Cyberpsychology, Behavior, and Social Networking",1093.0
4,International Journal of Computer Vision,1017.0
5,national conference on artificial intelligence,83.16
6,IEEE Transactions on Pattern Analysis and Machine Intelligence,1362.0
7,cryptographic hardware and embedded systems,844.0
8,conference on computability in europe,820.0
9,hawaii international conference on system sciences,434.0
10,formal methods,214.2
11,Computer Speech & Language,755.0
12,The Information Society,729.0
13,Combinatorica,130.25
14,european conference on parallel processing,164.6
15,very large data bases,188.75
16,international world wide web conferences,84.75
17,ACM Transactions on Computer Systems,623.0
18,embedded software,616.0
19,International Journal on Digital Libraries,599.0
20,international joint conference on artificial intelligence,94.15384615384616
21,north american chapter of the association for computational linguistics,35.464646464646464
22,IEEE Transactions on Information Theory,276.0
23,Journal of the ACM,285.5
24,Complex Systems,49.32857142857143
25,Journal of Arabic and Islamic Studies,247.66666666666666
26,Journal of Computer-aided Molecular Design,456.0
27,Journal of Algorithms,108.875
28,logical aspects of computational linguistics,165.0
29,IEEE Transactions on Very Large Scale Integration Systems,260.5
30,"IEEE Transactions on Acoustics, Speech, and Signal Processing",129.77777777777777
31,Teleoperators and Virtual Environments,240.5
32,IEEE Communications Magazine,234.5
33,Formal Aspects of Computing,48.52173913043478
34,international symposium on symbolic and algebraic computation,231.5
35,measurement and modeling of computer systems,409.0
36,theory and application of cryptographic techniques,172.5
37,international workshop on quality of service,373.0
38,international conference on database theory,213.5
39,Neural Computation,359.0
40,Cvgip: Image Understanding,347.0
41,Annals of Operations Research,331.0
42,IEEE Transactions on Software Engineering,134.0
43,Information Retrieval,210.5
44,IEEE Transactions on Medical Imaging,313.0
45,international symposium on neural networks,175.5
46,usenix conference on file and storage technologies,98.0
47,Artificial Intelligence,290.0
48,The Computer Journal,282.0
49,Operating Systems Review,47.9
50,Journal of Management Information Systems,181.71428571428572
51,international cryptology conference,157.5
52,european symposium on algorithms,58.857142857142854
53,international conference on computer graphics and interactive techniques,26.217391304347824
54,Scientometrics,98.5
55,international conference on machine learning,64.0909090909091
56,ACM Transactions on Computer-Human Interaction,146.0
57,Automatica,9.18
58,Theory of Computing,96.28571428571429
59,Advances in Computational Mathematics,231.0
60,Computers & Graphics,225.0
61,conference on computer supported cooperative work,218.0
62,intelligent virtual agents,213.0
63,european conference on object oriented programming,110.66666666666667
64,Journal of Software Maintenance and Evolution: Research and Practice,210.0
65,symposium on discrete algorithms,78.78571428571429
66,Communications of The ACM,42.57142857142857
67,international conference on computational linguistics,89.0
68,Communications of The Ais,75.25
69,principles and practice of constraint programming,53.30434782608695
70,international colloquium on automata languages and programming,193.0
71,Electronic Colloquium on Computational Complexity,21.473684210526315
72,Computers and Biomedical Research,51.18181818181818
73,intelligent agents,117.0
74,"Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing",101.25
75,Theoretical Computer Science,77.46153846153847
76,Mathematical Programming,91.0
77,Journal of Artificial Societies and Social Simulation,72.375
78,Machine Learning,91.75
79,operating systems design and implementation,157.0
80,conference on automated deduction,62.111111111111114
81,Journal of Information Technology,116.5
82,Software Quality Journal,105.0
83,Distributed Computing,144.0
84,Wasserwirtschaft,143.0
85,randomization and approximation techniques in computer science,96.0
86,Journal of Computer and System Sciences,94.5
87,Journal of Automated Reasoning,139.0
88,international symposium on microarchitecture,96.5
89,Annals of Pure and Applied Logic,52.5
90,Ageing Research Reviews,4.387096774193548
91,usenix security symposium,91.5
92,IEEE Journal of Selected Topics in Signal Processing,133.0
93,IEEE Computer Graphics and Applications,60.333333333333336
94,Computers in Education,21.5
95,ACM Transactions on Database Systems,86.66666666666667
96,Spring,36.0
97,european conference on research and advanced technology for digital libraries,122.0
98,Mobile Networks and Applications,77.33333333333333
99,Scopus,10.35897435897436
100,international conference on concurrency theory,79.0
101,Computational Optimization and Applications,117.0
102,visual communications and image processing,5.0375
103,Performance Evaluation,54.666666666666664
104,algebraic methodology and software technology,71.33333333333333
105,information theory and applications,81.0
106,IEEE Transactions on Knowledge and Data Engineering,111.0
107,Logical Methods in Computer Science,52.1
108,international symposium on distributed computing,97.5
109,Kybernetika,103.0
110,international conference on logic programming,53.0
111,local computer networks,102.0
112,IEEE Software,33.666666666666664
113,combinatorial pattern matching,74.5
