,venue,avgVenueCite
0,IEEE Transactions on Image Processing,3.8043478260869565
1,Entropy,3.4482758620689653
2,Journal of Computational and Applied Mathematics,1.3513513513513513
3,Medical Image Analysis,4.3478260869565215
4,European Journal of Operational Research,6.220779220779221
5,Information Sciences,3.676470588235294
6,International Journal of Systems Science,2.586206896551724
7,Journal of Visual Communication and Image Representation,1.0638297872340425
8,International Journal of Bifurcation and Chaos,6.891891891891892
9,Applied Mathematics and Computation,3.772357723577236
10,Microelectronics Reliability,0.8771929824561403
11,Industrial Management and Data Systems,18.42105263157895
12,Computerized Medical Imaging and Graphics,0.0
13,The Visual Computer,28.333333333333332
14,Computational and Mathematical Methods in Medicine,3.0
15,ACM Transactions on Computer-Human Interaction,9.375
16,IEEE Transactions on Wireless Communications,3.4482758620689653
17,Neurocomputing,11.374193548387098
18,Microelectronics Journal,0.0
19,International Journal of Social Robotics,0.0
20,IEEE Communications Magazine,17.01851851851852
21,Applied Mathematics Letters,3.0508474576271185
22,Advances in Engineering Software,1.6666666666666667
23,NeuroImage,10.526315789473685
24,International Journal of Neural Systems,0.0
25,Journal of Chemical Information and Modeling,3.5714285714285716
26,International Journal of Medical Informatics,3.658536585365854
27,Journal of Medical Systems,3.488372093023256
28,Computers & Industrial Engineering,4.545454545454546
29,Signal Processing,3.1645569620253164
30,Discrete Optimization,0.0
31,Applied Soft Computing,2.962962962962963
32,Journal of Computational Science,18.333333333333332
33,Wireless Personal Communications,1.9125683060109289
34,IEEE Transactions on Information Forensics and Security,7.636363636363637
35,Computers & Chemical Engineering,7.547169811320755
36,Journal of Heuristics,0.0
37,Digital Signal Processing,0.0
38,IEEE Transactions on Visualization and Computer Graphics,18.5
39,IEEE Computer Graphics and Applications,8.333333333333334
40,Computers & Operations Research,7.317073170731708
41,Ecological Informatics,2.1739130434782608
42,Engineering Applications of Artificial Intelligence,5.405405405405405
43,Computers in Biology and Medicine,1.8867924528301887
44,International Journal of Approximate Reasoning,4.3478260869565215
45,Automatica,9.674796747967479
46,Information Systems,10.526315789473685
47,Science of Computer Programming,10.0
48,Scientometrics,10.961538461538462
49,Theoretical Computer Science,20.339622641509433
50,BMC Bioinformatics,7.006329113924051
51,Digital Investigation,0.0
52,"IEEE Transactions on Audio, Speech, and Language Processing",0.0
53,IEEE Communications Letters,0.0
54,IEEE Transactions on Information Theory,28.97142857142857
